scenario,protocol,mobility,maxPaths,numNodes,numFlows,meanVelMin,meanVelMax,pktInterval,simTime,seed,deliveryRatio,avgDelayMs,throughputMbps,routingOverhead,totalEnergyJ,nodesDead
hetero-E30,AOMDV,GAUSS,3,15,0,15,25,0.25,300,3,60.0197,202.3644,0.1406,38345,324.3035,0
hetero-E30,AOMDV,GAUSS,3,15,0,15,25,0.25,300,4,23.5186,230.1812,0.0551,27577,325.3314,0
hetero-E30,AOMDV,GAUSS,3,15,0,15,25,0.25,300,5,51.9855,199.8973,0.1218,26582,325.4118,0
hetero-E30,AOMDV,GAUSS,3,15,0,15,25,0.25,300,6,33.8087,291.3022,0.0792,25303,324.1735,0
hetero-E30,AOMDV,GAUSS,3,15,0,15,25,0.25,300,7,48.8689,183.5617,0.1145,31704,325.8348,0
hetero-E30,AOMDV,GAUSS,3,15,0,15,25,0.25,300,8,51.4077,234.2258,0.1204,38376,325.0485,0
hetero-E30,AOMDV,GAUSS,3,15,0,15,25,0.25,300,9,33.0096,59.5183,0.0773,26717,324.6313,0
hetero-E50,AOMDV,GAUSS,3,15,0,15,25,0.25,300,1,42.9125,199.2129,0.1005,35912,543.5794,0
hetero-E50,AOMDV,GAUSS,3,15,0,15,25,0.25,300,10,48.9796,375.3605,0.1147,48032,545.2869,0
hetero-E50,AOMDV,GAUSS,3,15,0,15,25,0.25,300,2,43.9513,164.0926,0.1030,33691,542.5333,0
hetero-E50,AOMDV,GAUSS,3,15,0,15,25,0.25,300,3,60.0197,202.3644,0.1406,38345,541.7547,0
hetero-E50,AOMDV,GAUSS,3,15,0,15,25,0.25,300,4,23.5186,230.1812,0.0551,27577,542.1582,0
hetero-E50,AOMDV,GAUSS,3,15,0,15,25,0.25,300,5,51.9855,199.8973,0.1218,26582,542.0949,0
hetero-E50,AOMDV,GAUSS,3,15,0,15,25,0.25,300,6,33.8087,291.3022,0.0792,25303,542.9098,0
hetero-E50,AOMDV,GAUSS,3,15,0,15,25,0.25,300,7,48.8689,183.5617,0.1145,31704,542.9960,0
hetero-E50,AOMDV,GAUSS,3,15,0,15,25,0.25,300,8,51.4077,234.2258,0.1204,38376,542.0188,0
hetero-E50,AOMDV,GAUSS,3,15,0,15,25,0.25,300,9,33.0096,59.5183,0.0773,26717,540.8435,0
hetero-E10,PMAODV,GAUSS,3,15,0,15,25,0.25,300,1,31.4114,197.4020,0.0736,32603,108.1034,0
hetero-E10,PMAODV,GAUSS,3,15,0,15,25,0.25,300,10,27.7047,352.4844,0.0649,28753,108.2191,0
hetero-E10,PMAODV,GAUSS,3,15,0,15,25,0.25,300,2,39.1628,182.0733,0.0917,32496,108.1544,0
hetero-E10,PMAODV,GAUSS,3,15,0,15,25,0.25,300,3,41.0130,226.2662,0.0961,35597,108.1467,0
hetero-E10,PMAODV,GAUSS,3,15,0,15,25,0.25,300,4,52.4404,433.1648,0.1228,38579,108.0973,0
hetero-E10,PMAODV,GAUSS,3,15,0,15,25,0.25,300,5,42.9616,168.7762,0.1006,23664,108.1862,0
hetero-E10,PMAODV,GAUSS,3,15,0,15,25,0.25,300,6,32.5117,318.2894,0.0762,30776,108.0374,0
hetero-E10,PMAODV,GAUSS,3,15,0,15,25,0.25,300,7,36.7654,103.2015,0.0861,24294,108.2095,0
hetero-E10,PMAODV,GAUSS,3,15,0,15,25,0.25,300,8,37.4416,335.7743,0.0877,34944,108.0974,0
hetero-E10,PMAODV,GAUSS,3,15,0,15,25,0.25,300,9,26.1372,129.6565,0.0612,20075,108.0750,0
hetero-E20,PMAODV,GAUSS,3,15,0,15,25,0.25,300,1,31.4114,197.4020,0.0736,32603,216.6701,0
hetero-E20,PMAODV,GAUSS,3,15,0,15,25,0.25,300,10,27.7047,352.4844,0.0649,28753,217.3894,0
hetero-E20,PMAODV,GAUSS,3,15,0,15,25,0.25,300,2,39.1628,182.0733,0.0917,32496,216.7731,0
hetero-E20,PMAODV,GAUSS,3,15,0,15,25,0.25,300,3,41.0130,226.2662,0.0961,35597,216.2454,0
hetero-E20,PMAODV,GAUSS,3,15,0,15,25,0.25,300,4,52.4404,433.1648,0.1228,38579,216.8554,0
hetero-E20,PMAODV,GAUSS,3,15,0,15,25,0.25,300,5,42.9616,168.7762,0.1006,23664,216.5840,0
hetero-E20,PMAODV,GAUSS,3,15,0,15,25,0.25,300,6,32.5117,318.2894,0.0762,30776,215.9985,0
hetero-E20,PMAODV,GAUSS,3,15,0,15,25,0.25,300,7,36.7654,103.2015,0.0861,24294,216.7262,0
hetero-E20,PMAODV,GAUSS,3,15,0,15,25,0.25,300,8,37.4416,335.7743,0.0877,34944,216.5267,0
hetero-E20,PMAODV,GAUSS,3,15,0,15,25,0.25,300,9,26.1372,129.6565,0.0612,20075,216.4091,0
hetero-E30,PMAODV,GAUSS,3,15,0,15,25,0.25,300,1,31.4114,197.4020,0.0736,32603,325.6671,0
hetero-E30,PMAODV,GAUSS,3,15,0,15,25,0.25,300,10,27.7047,352.4844,0.0649,28753,326.6729,0
hetero-E30,PMAODV,GAUSS,3,15,0,15,25,0.25,300,2,39.1628,182.0733,0.0917,32496,325.5759,0
hetero-E30,PMAODV,GAUSS,3,15,0,15,25,0.25,300,3,41.0130,226.2662,0.0961,35597,324.3798,0
hetero-E30,PMAODV,GAUSS,3,15,0,15,25,0.25,300,4,52.4404,433.1648,0.1228,38579,326.3537,0
hetero-E30,PMAODV,GAUSS,3,15,0,15,25,0.25,300,5,42.9616,168.7762,0.1006,23664,325.0668,0
hetero-E30,PMAODV,GAUSS,3,15,0,15,25,0.25,300,6,32.5117,318.2894,0.0762,30776,324.1493,0
hetero-E30,PMAODV,GAUSS,3,15,0,15,25,0.25,300,7,36.7654,103.2015,0.0861,24294,325.0071,0
hetero-E30,PMAODV,GAUSS,3,15,0,15,25,0.25,300,8,37.4416,335.7743,0.0877,34944,324.9569,0
hetero-E30,PMAODV,GAUSS,3,15,0,15,25,0.25,300,9,26.1372,129.6565,0.0612,20075,324.8442,0
hetero-E50,PMAODV,GAUSS,3,15,0,15,25,0.25,300,1,31.4114,197.4020,0.0736,32603,543.0814,0
hetero-E50,PMAODV,GAUSS,3,15,0,15,25,0.25,300,10,27.7047,352.4844,0.0649,28753,542.9803,0
hetero-E50,PMAODV,GAUSS,3,15,0,15,25,0.25,300,2,39.1628,182.0733,0.0917,32496,543.9660,0
hetero-E50,PMAODV,GAUSS,3,15,0,15,25,0.25,300,3,41.0130,226.2662,0.0961,35597,541.6759,0
hetero-E50,PMAODV,GAUSS,3,15,0,15,25,0.25,300,4,52.4404,433.1648,0.1228,38579,543.5103,0
hetero-E50,PMAODV,GAUSS,3,15,0,15,25,0.25,300,5,42.9616,168.7762,0.1006,23664,541.7613,0
hetero-E50,PMAODV,GAUSS,3,15,0,15,25,0.25,300,6,32.5117,318.2894,0.0762,30776,543.5030,0
hetero-E50,PMAODV,GAUSS,3,15,0,15,25,0.25,300,7,36.7654,103.2015,0.0861,24294,541.4816,0
hetero-E50,PMAODV,GAUSS,3,15,0,15,25,0.25,300,8,37.4416,335.7743,0.0877,34944,542.0863,0
hetero-E50,PMAODV,GAUSS,3,15,0,15,25,0.25,300,9,26.1372,129.6565,0.0612,20075,541.2302,0
hetero-E10,QMAODV,GAUSS,3,15,0,15,25,0.25,300,1,52.0593,407.8275,0.1220,40957,108.1004,0
hetero-E10,QMAODV,GAUSS,3,15,0,15,25,0.25,300,10,28.9894,244.0933,0.0679,39394,108.2077,0
hetero-E10,QMAODV,GAUSS,3,15,0,15,25,0.25,300,2,49.2562,183.7390,0.1154,41215,108.1507,0
hetero-E10,QMAODV,GAUSS,3,15,0,15,25,0.25,300,3,56.7925,211.5972,0.1330,39019,108.1467,0
hetero-E10,QMAODV,GAUSS,3,15,0,15,25,0.25,300,4,37.9395,243.8622,0.0889,38864,108.0945,0
hetero-E10,QMAODV,GAUSS,3,15,0,15,25,0.25,300,5,54.1738,277.0276,0.1269,30001,108.1681,0
hetero-E10,QMAODV,GAUSS,3,15,0,15,25,0.25,300,6,58.4337,312.2684,0.1369,36221,108.0374,0
hetero-E10,QMAODV,GAUSS,3,15,0,15,25,0.25,300,7,40.2754,200.2131,0.0943,30446,108.1979,0
hetero-E10,QMAODV,GAUSS,3,15,0,15,25,0.25,300,8,54.7332,226.4836,0.1282,40790,108.1154,0
hetero-E10,QMAODV,GAUSS,3,15,0,15,25,0.25,300,9,26.6781,127.7160,0.0625,23168,108.0757,0
hetero-E20,QMAODV,GAUSS,3,15,0,15,25,0.25,300,1,52.0593,407.8275,0.1220,40957,216.7478,0
hetero-E20,QMAODV,GAUSS,3,15,0,15,25,0.25,300,10,28.9894,244.0933,0.0679,39394,217.3666,0
hetero-E20,QMAODV,GAUSS,3,15,0,15,25,0.25,300,2,49.2562,183.7390,0.1154,41215,216.7207,0
hetero-E20,QMAODV,GAUSS,3,15,0,15,25,0.25,300,3,56.7925,211.5972,0.1330,39019,216.2454,0
hetero-E20,QMAODV,GAUSS,3,15,0,15,25,0.25,300,4,37.9395,243.8622,0.0889,38864,216.8785,0
hetero-E20,QMAODV,GAUSS,3,15,0,15,25,0.25,300,5,54.1738,277.0276,0.1269,30001,216.5168,0
hetero-E20,QMAODV,GAUSS,3,15,0,15,25,0.25,300,6,58.4337,312.2684,0.1369,36221,215.9985,0
hetero-E20,QMAODV,GAUSS,3,15,0,15,25,0.25,300,7,40.2754,200.2131,0.0943,30446,216.9817,0
hetero-E20,QMAODV,GAUSS,3,15,0,15,25,0.25,300,8,54.7332,226.4836,0.1282,40790,216.5396,0
hetero-E20,QMAODV,GAUSS,3,15,0,15,25,0.25,300,9,26.6781,127.7160,0.0625,23168,216.4257,0
hetero-E30,QMAODV,GAUSS,3,15,0,15,25,0.25,300,1,52.0593,407.8275,0.1220,40957,325.8851,0
hetero-E30,QMAODV,GAUSS,3,15,0,15,25,0.25,300,10,28.9894,244.0933,0.0679,39394,326.3745,0
hetero-E30,QMAODV,GAUSS,3,15,0,15,25,0.25,300,2,49.2562,183.7390,0.1154,41215,325.5683,0
hetero-E30,QMAODV,GAUSS,3,15,0,15,25,0.25,300,3,56.7925,211.5972,0.1330,39019,324.3798,0
hetero-E30,QMAODV,GAUSS,3,15,0,15,25,0.25,300,4,37.9395,243.8622,0.0889,38864,326.2562,0
hetero-E30,QMAODV,GAUSS,3,15,0,15,25,0.25,300,5,54.1738,277.0276,0.1269,30001,324.9141,0
hetero-E30,QMAODV,GAUSS,3,15,0,15,25,0.25,300,6,58.4337,312.2684,0.1369,36221,324.1235,0
hetero-E30,QMAODV,GAUSS,3,15,0,15,25,0.25,300,7,40.2754,200.2131,0.0943,30446,325.6521,0
hetero-E30,QMAODV,GAUSS,3,15,0,15,25,0.25,300,8,54.7332,226.4836,0.1282,40790,325.0269,0
hetero-E30,QMAODV,GAUSS,3,15,0,15,25,0.25,300,9,26.6781,127.7160,0.0625,23168,324.9880,0
hetero-E50,QMAODV,GAUSS,3,15,0,15,25,0.25,300,1,52.0593,407.8275,0.1220,40957,544.0278,0
hetero-E50,QMAODV,GAUSS,3,15,0,15,25,0.25,300,10,28.9894,244.0933,0.0679,39394,545.7346,0
hetero-E50,QMAODV,GAUSS,3,15,0,15,25,0.25,300,2,49.2562,183.7390,0.1154,41215,544.7608,0
